F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,class
179.72,184.17,183.76,181.82,151.47,179.52,181.27,179.6,-9.26,-12.01,0.81,4.27,-1.11,3.26,43.33,42.86,-83.25,-58.14,-58.14,-35.72,16.75,21.25,-83.75,-50.87,31.51,173295303.8,0
177.08,182.57,183.54,181.77,151.68,177.45,179.82,179.36,-7.13,-17.13,-9.77,3.85,-0.66,3.25,38.48,39.06,-94.08,-73.92,-74.13,-45.55,5.92,15.11,-144.42,-116.56,-7.59,167026180.5,0
174.88,180.47,182.57,181.6,151.89,174.78,177.93,178.97,-7.24,-19.59,-15.86,2.94,-0.51,3.08,34.43,39.31,-96.61,-89.63,-89.72,-55.12,3.39,8.69,-147.27,-155.29,-35.53,164742490.7,0
173.95,178.77,181.62,181.49,152.1,173.86,176.86,178.69,-5.73,-14.6,-14.19,2.03,-0.37,2.53,39.06,43.72,-84.08,-79.1,-79.27,-48.71,15.92,8.41,-114.81,-141.92,-33.07,161063379.2,1
172.96,177.39,180.66,181.28,152.33,173.5,176.12,178.46,-4.45,-14.97,-16.46,0.92,-0.23,1.8,40.41,46.93,-80.74,-75.96,-76.15,-46.79,19.26,12.86,-79.54,-110.63,-18.55,163062288.3,0
171.84,175.78,179.4,181.02,152.57,172.89,175.31,178.2,-1.62,-14.83,-18.75,-0.38,-0.2,1.34,39.05,46.59,-85.6,-80.53,-80.69,-49.58,14.4,16.53,-85.69,-125.06,-37.47,161163699,0
171,174.04,177.88,180.7,152.82,171.62,174.18,177.84,-0.36,-11.34,-19.95,-1.33,-0.28,0.08,36.04,45.14,-88.29,-88.71,-88.8,-59.66,11.71,15.13,-98.75,-142.53,-60.2,163140365.7,0
170.49,172.69,176.3,180.39,153.04,170.04,172.85,177.41,-5.13,-9.79,-19.73,-2.68,-0.84,-1.38,33.68,44.64,-97.26,-97.42,-97.44,-66.12,2.74,9.62,-100.25,-147.06,-75.77,163017733.2,0
169.9,171.92,175.04,180.13,153.27,169.71,172.16,177.08,-3.74,-8.7,-18.71,-4.1,-1.36,-2.59,38,39.36,-79.56,-81.27,-81.41,-64.37,20.44,11.63,-94.01,-139.05,-80.58,156716228.2,1
168.57,170.76,173.5,179.83,153.48,168.52,171.07,176.65,-5.53,-11.1,-20.36,-5.43,-1.99,-3.66,34.72,45.97,-90.89,-91.85,-91.91,-72.68,9.11,10.76,-101.1,-141.76,-92.12,161280330.8,0
167.85,169.84,172.18,179.52,153.7,168.37,170.52,176.32,-1.01,-5.22,-12.35,-6.17,-2.68,-4.75,38.51,48.74,-79.97,-84.84,-84.95,-67.17,20.03,16.53,-86.43,-127.85,-86.55,160004686.9,1
167.38,169.19,171.2,179.2,153.9,167.82,169.83,175.94,-0.16,-2.71,-9.95,-6.67,-3.5,-5.7,36.91,45.61,-83.59,-89.71,-89.78,-71,16.41,15.18,-93.59,-127.79,-95.11,162236261.7,1
167.01,168.75,170.37,178.91,154.1,166.91,168.97,175.52,-3.97,-6.94,-12.67,-7.23,-4.31,-6.26,34.97,43.13,-78.39,-85.9,-85.99,-76.14,21.61,19.35,-121.73,-141.47,-119.35,163376261.7,1
166.14,168.02,169.44,178.51,154.31,166.17,168.19,175.09,-1.44,-8.09,-12.54,-7.74,-5.02,-6.33,34.53,42.7,-80.29,-87.14,-87.22,-77.23,19.71,19.24,-90.59,-126.94,-109.32,165521555.9,0
165.11,166.84,168.28,178.03,154.48,164.44,166.88,174.54,-7.1,-10.7,-12.32,-7.84,-5.91,-6.47,30.41,38.17,-98.61,-99.31,-99.32,-87.94,1.39,14.24,-136.63,-144.58,-133.64,163544952.4,0
163.86,165.85,167.46,177.52,154.65,163.57,165.96,174.04,-4.91,-7.26,-7.62,-7.52,-6.71,-6.53,32.39,38.51,-91.13,-96.01,-96.03,-85.5,8.87,9.99,-139.72,-144.2,-138.32,156607814.8,1
163.42,165.4,167.11,177.1,154.86,163.89,165.7,173.67,-0.55,-2.36,-7.49,-7.27,-7.08,-6.12,38.4,34.47,-71.59,-87.21,-87.29,-77.72,28.41,12.89,-79.96,-119.89,-116.4,155933441.9,1
162.92,164.97,166.44,176.64,155.06,163.46,165.14,173.23,-2.1,-6.45,-10.19,-7.02,-7.24,-5.47,35.95,30.88,-85.51,-93.48,-93.52,-83.26,14.49,17.26,-89.53,-122.43,-124.1,157308257.6,0
163.05,164.6,165.9,176.25,155.29,164.08,165.17,172.92,4.35,-0.82,-6.35,-6.55,-7.32,-4.96,41.61,32.92,-61.1,-84.65,-84.75,-75.45,38.9,27.27,-54.23,-107.84,-113.25,154096933.4,1
165.07,165.09,165.86,175.99,155.56,166.42,166.25,172.85,9.28,3.03,2.02,-5.7,-7.29,-4.46,51.43,35.8,-8.61,-65.89,-66.11,-58.86,91.39,48.26,136.62,-52.47,-54.93,158213183.4,1
166.91,165.38,166,175.72,155.8,167.94,167.11,172.78,6.45,4.25,4.09,-4.79,-7.17,-3.83,51.24,34.54,-19.46,-65.25,-66.49,-59.2,80.54,70.28,164.3,-37.87,-42.1,160838959.3,0
167.87,165.65,166.17,175.4,156.03,168.41,167.52,172.64,6.75,4.27,0.3,-4.06,-7,-3.13,48.58,34.41,-32.09,-70.21,-71.75,-63.88,67.91,79.95,113.89,-46.56,-55.35,158888489.1,0
